Date,Linear_Average_Load(t),Flow  (Cumecs),Flow(ML),Concentration (mg/L)
2009/7/1,0.0003418,0.1985,17.15,0.019930029
2009/7/2,0.000453,0.2026,17.5,0.025885714
2009/7/3,0.0005638,0.2052,17.73,0.03179921
2009/7/4,0.0005665,0.1813,15.67,0.036151883
2009/7/5,0.0006826,0.1994,17.23,0.039616947
2009/7/6,0.0010164,0.2588,22.36,0.045456172
2009/7/7,0.0009074,0.2111,18.24,0.049747807
2009/7/8,0.0008995,0.1735,14.99,0.060006671
2009/7/9,0.0009025,0.1621,14.01,0.064418273
2009/7/10,0.0009057,0.1535,13.26,0.068303167
2009/7/11,0.0010081,0.146,12.61,0.079944489
2009/7/12,0.0010154,0.1455,12.57,0.080779634
2009/7/13,0.0011197,0.1422,12.29,0.091106591
2009/7/14,0.009891,1.3747,118.78,0.083271595
2009/7/15,0.0033751,0.4448,38.43,0.087824616
2009/7/16,0.002244,0.2619,22.63,0.099160407
2009/7/17,0.0014619,0.1555,13.44,0.108772321
2009/7/18,0.00124,0.1294,11.18,0.110912343
2009/7/19,0.0012348,0.1207,10.43,0.118389262
2009/7/20,0.0012279,0.1112,9.61,0.127773153
2009/7/21,0.001121,0.1026,8.86,0.126523702
2009/7/22,0.001232,0.1065,9.21,0.133767644
2009/7/23,0.0016858,0.1373,11.86,0.142141653
2009/7/24,0.0019011,0.1422,12.29,0.154686737
2009/7/25,0.0017948,0.1348,11.65,0.154060086
2009/7/26,0.0021254,0.1484,12.82,0.165787832
2009/7/27,0.0023567,0.164,14.17,0.166316161
2009/7/28,0.0025797,0.1745,15.08,0.171067639
2009/7/29,0.0025748,0.1649,14.25,0.180687719
2009/7/30,0.0025769,0.1604,13.86,0.185923521
2009/7/31,0.0025811,0.1577,13.63,0.189369039
2009/8/1,0.0024672,0.146,12.61,0.195654243
2009/8/2,0.0023536,0.1359,11.74,0.200477002
2009/8/3,0.0024581,0.1352,11.69,0.210273738
2009/8/4,0.0025751,0.1391,12.02,0.214234609
2009/8/5,0.0029057,0.1495,12.92,0.224899381
2009/8/6,0.0027963,0.1419,12.26,0.228083197
2009/8/7,0.0029131,0.1455,12.57,0.231750199
2009/8/8,0.0030215,0.1457,12.59,0.239992057
2009/8/9,0.0027973,0.1338,11.56,0.241980969
2009/8/10,0.0027965,0.131,11.31,0.247259063
2009/8/11,0.0027986,0.1293,11.17,0.250546106
2009/8/12,0.0027962,0.1262,10.9,0.25653211
2009/8/13,0.002578,0.1176,10.16,0.253740157
2009/8/14,0.0030231,0.1314,11.35,0.266352423
2009/8/15,0.0030248,0.1292,11.16,0.271039427
2009/8/16,0.003023,0.1265,10.93,0.276578225
2009/8/17,0.0032394,0.1297,11.2,0.289232143
2009/8/18,0.0032481,0.1303,11.26,0.288463588
2009/8/19,0.0035804,0.1382,11.94,0.299865997
2009/8/20,0.0034712,0.1333,11.52,0.301319444
2009/8/21,0.003358,0.1274,11.01,0.304995459
2009/8/22,0.0032457,0.122,10.54,0.307941176
2009/8/23,0.003133,0.1163,10.05,0.311741294
2009/8/24,0.0031254,0.1129,9.76,0.32022541
2009/8/25,0.0033582,0.1203,10.39,0.323214629
2009/8/26,0.0036848,0.1262,10.91,0.337745188
2009/8/27,0.0038063,0.1298,11.22,0.339242424
2009/8/28,0.0036945,0.1251,10.81,0.341766883
2009/8/29,0.003909,0.1272,10.99,0.355686988
2009/8/30,0.0039097,0.1257,10.86,0.360009208
2009/8/31,0.0036925,0.1197,10.34,0.357108317
2009/9/1,0.044267,1.5258,131.83,0.335788516
2009/9/2,0.009507,0.3137,27.1,0.350811808
2009/9/3,0.0055865,0.1698,14.67,0.380811179
2009/9/4,0.0034634,0.1073,9.27,0.373613808
2009/9/5,0.0024625,0.0834,7.21,0.341539528
2009/9/6,0.0020175,0.0721,6.23,0.323836276
2009/9/7,0.0017955,0.0666,5.76,0.31171875
2009/9/8,0.0017882,0.066,5.7,0.313719298
2009/9/9,0.0016782,0.0644,5.57,0.301292639
2009/9/10,0.001563,0.0611,5.28,0.296022727
2009/9/11,0.0013485,0.0577,4.99,0.270240481
2009/9/12,0.0013408,0.0562,4.85,0.276453608
2009/9/13,0.0012324,0.0548,4.73,0.260549683
2009/9/14,0.0011259,0.054,4.67,0.241092077
2009/9/15,0.0009047,0.0466,4.03,0.224491315
2009/9/16,0.0007936,0.0433,3.74,0.212192513
2009/9/17,0.0010181,0.0569,4.92,0.206930894
2009/9/18,0.0008991,0.0499,4.31,0.208607889
2009/9/19,0.0009006,0.0534,4.61,0.195357918
2009/9/20,0.000795,0.0525,4.54,0.175110132
2009/9/21,0.0007854,0.0494,4.27,0.183934426
2009/9/22,0.0005653,0.0398,3.44,0.164331395
2009/9/23,0.0004576,0.0371,3.21,0.142554517
2009/9/24,0.000453,0.0359,3.1,0.146129032
2009/9/25,0.0004578,0.0417,3.6,0.127166667
2009/9/26,0.0004541,0.0417,3.6,0.126138889
2009/9/27,0.0003476,0.0393,3.39,0.102536873
