real_name,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015
0,2478526.761089226,1206637.5345715424,1003541.8555925551,338427.6097679247,142202.84874297047,363527.70710312284
1,2130324.1137582823,1057823.549406212,926555.8167981902,400662.6048766908,207316.81030319972,467140.7324673779
2,2559959.4413232133,1329358.5552097764,1156629.5126448856,464343.66622256744,263984.8848871194,620348.7884143445
3,2369182.6090328926,1219631.4248647105,994574.105716447,362041.2383017996,183630.96350006043,439090.7237956251
4,3580428.1826915876,1942209.1673324748,1696777.750319311,724979.7326873463,450598.37316685676,1026158.8230536658
5,2577501.2117035226,1286244.9859687232,1066889.9067021203,385480.27984586783,181502.89074367678,435518.52810919937
6,3591739.923973768,1979353.5245319044,1800668.5313398512,826970.1860899506,542565.2972328765,1220526.2840418078
7,3795995.307221833,2087581.75323329,1839838.9556796541,779007.6082083059,501735.4629025104,1152238.207360997
8,2564475.5481468355,1230566.7457031612,1042327.2873076226,399665.91482897237,171583.01269839512,408871.500183843
9,1670738.2339448037,898592.9161658064,727596.8178844093,248459.89837193242,141995.15573943462,343791.38720930263
10,3460783.3940648288,1911726.1807757958,1683550.3940062984,744139.2289341277,481468.7366884691,1086514.1508869438
11,1847405.5321147365,1035412.4810512835,850526.2433795725,351912.55332436506,222194.12103433034,507567.3712153094
12,2460416.3964491347,1321664.3791898945,1151879.4667155542,481166.39104035165,293477.89029682305,673676.6283749429
13,2830094.203557461,1516299.9295201434,1292284.4760689866,503570.90795356326,301193.7039610173,706240.7148532645
14,2742374.0558451363,1379438.9361106846,1163676.5509233866,445760.7063621723,223502.13581279284,525433.8720868255
15,1763974.3979271515,777036.3446572243,707121.953337483,289322.7838793486,107184.38826975961,259312.32278193
16,2967164.2575897058,1559510.5115565697,1367042.9541489389,621657.327478488,363337.46734356903,812927.0081139517
17,2422406.252685121,1152356.4703602137,1004473.3189986079,414085.7450713713,185231.47859499697,432476.49389116245
18,3644740.0757406666,1932445.9735709545,1680519.3188307728,678119.76578016,403665.2341543351,940759.3828776508
