obsnme obsval weight obgnme
DIN_01_07_2010 2.000 4.56E-04 DIN
DIN_02_07_2010 0.004 4.56E-04 DIN
DIN_03_07_2010 0.004 4.56E-04 DIN
DIN_04_07_2010 15.005 4.56E-04 DIN
DIN_05_07_2010 0.004 4.56E-04 DIN
DIN_06_07_2010 7.396 4.56E-04 DIN
DIN_07_07_2010 2.270 4.56E-04 DIN
DIN_08_07_2010 0.004 4.56E-04 DIN
DIN_09_07_2010 3.131 4.56E-04 DIN
DIN_10_07_2010 0.004 4.56E-04 DIN
DIN_11_07_2010 0.004 4.56E-04 DIN
DIN_12_07_2010 9.116 4.56E-04 DIN
DIN_13_07_2010 0.004 4.56E-04 DIN
DIN_14_07_2010 6.804 4.56E-04 DIN
DIN_15_07_2010 10.115 4.56E-04 DIN
DIN_16_07_2010 9.960 4.56E-04 DIN
DIN_17_07_2010 0.981 4.56E-04 DIN
DIN_18_07_2010 0.004 4.56E-04 DIN
DIN_19_07_2010 15.378 4.56E-04 DIN
DIN_20_07_2010 0.043 4.56E-04 DIN
DIN_21_07_2010 2.911 4.56E-04 DIN
DIN_22_07_2010 0.004 4.56E-04 DIN
DIN_23_07_2010 2.294 4.56E-04 DIN
DIN_24_07_2010 0.638 4.56E-04 DIN
DIN_25_07_2010 2.661 4.56E-04 DIN
DIN_26_07_2010 2.670 4.56E-04 DIN
DIN_27_07_2010 0.004 4.56E-04 DIN
DIN_28_07_2010 17.189 4.56E-04 DIN
DIN_29_07_2010 0.004 4.56E-04 DIN
DIN_30_07_2010 0.004 4.56E-04 DIN
DIN_31_07_2010 0.004 4.56E-04 DIN
DIN_01_08_2010 2.804 4.56E-04 DIN
DIN_02_08_2010 8.242 4.56E-04 DIN
DIN_03_08_2010 0.004 4.56E-04 DIN
DIN_04_08_2010 0.415 4.56E-04 DIN
DIN_05_08_2010 3.215 4.56E-04 DIN
DIN_06_08_2010 0.004 4.56E-04 DIN
DIN_07_08_2010 1.709 4.56E-04 DIN
DIN_08_08_2010 0.027 4.56E-04 DIN
DIN_09_08_2010 10.114 4.56E-04 DIN
DIN_10_08_2010 5.825 4.56E-04 DIN
DIN_11_08_2010 14.579 4.56E-04 DIN
DIN_12_08_2010 52.827 4.56E-04 DIN
DIN_13_08_2010 58.499 4.56E-04 DIN
DIN_14_08_2010 54.440 4.56E-04 DIN
DIN_15_08_2010 47.829 4.56E-04 DIN
DIN_16_08_2010 50.106 4.56E-04 DIN
DIN_17_08_2010 41.102 4.56E-04 DIN
DIN_18_08_2010 32.668 4.56E-04 DIN
DIN_19_08_2010 27.438 4.56E-04 DIN
DIN_20_08_2010 20.288 4.56E-04 DIN
DIN_21_08_2010 16.634 4.56E-04 DIN
DIN_22_08_2010 19.605 4.56E-04 DIN
DIN_23_08_2010 13.705 4.56E-04 DIN
DIN_24_08_2010 8.003 4.56E-04 DIN
DIN_25_08_2010 4.996 4.56E-04 DIN
DIN_26_08_2010 9.135 4.56E-04 DIN
DIN_27_08_2010 20.778 4.56E-04 DIN
DIN_28_08_2010 14.869 4.56E-04 DIN
DIN_29_08_2010 10.673 4.56E-04 DIN
DIN_30_08_2010 13.522 4.56E-04 DIN
DIN_31_08_2010 0.666 4.56E-04 DIN
DIN_01_09_2010 4.753 4.56E-04 DIN
DIN_02_09_2010 4.073 4.56E-04 DIN
DIN_03_09_2010 3.144 4.56E-04 DIN
DIN_04_09_2010 0.697 4.56E-04 DIN
DIN_05_09_2010 0.004 4.56E-04 DIN
DIN_06_09_2010 3.195 4.56E-04 DIN
DIN_07_09_2010 7.320 4.56E-04 DIN
DIN_08_09_2010 6.349 4.56E-04 DIN
DIN_09_09_2010 2.077 4.56E-04 DIN
DIN_10_09_2010 6.020 4.56E-04 DIN
DIN_11_09_2010 0.004 4.56E-04 DIN
DIN_12_09_2010 3.443 4.56E-04 DIN
DIN_13_09_2010 2.130 4.56E-04 DIN
DIN_14_09_2010 0.004 4.56E-04 DIN
DIN_15_09_2010 5.236 4.56E-04 DIN
DIN_16_09_2010 0.004 4.56E-04 DIN
DIN_17_09_2010 0.787 4.56E-04 DIN
DIN_18_09_2010 0.004 4.56E-04 DIN
DIN_19_09_2010 3.662 4.56E-04 DIN
DIN_20_09_2010 5.189 4.56E-04 DIN
DIN_21_09_2010 27.748 4.56E-04 DIN
DIN_22_09_2010 29.177 4.56E-04 DIN
DIN_23_09_2010 42.887 4.56E-04 DIN
DIN_24_09_2010 47.870 4.56E-04 DIN
DIN_25_09_2010 47.665 4.56E-04 DIN
DIN_26_09_2010 36.853 4.56E-04 DIN
DIN_27_09_2010 48.568 4.56E-04 DIN
DIN_28_09_2010 36.068 4.56E-04 DIN
DIN_29_09_2010 25.066 4.56E-04 DIN
DIN_30_09_2010 370.121 4.56E-04 DIN
DIN_01_10_2010 358.297 4.56E-04 DIN
DIN_02_10_2010 229.006 4.56E-04 DIN
DIN_03_10_2010 151.383 4.56E-04 DIN
DIN_04_10_2010 100.897 4.56E-04 DIN
DIN_05_10_2010 64.266 4.56E-04 DIN
DIN_06_10_2010 36.277 4.56E-04 DIN
DIN_07_10_2010 33.601 4.56E-04 DIN
DIN_08_10_2010 38.584 4.56E-04 DIN
DIN_09_10_2010 25.078 4.56E-04 DIN
DIN_10_10_2010 12.117 4.56E-04 DIN
DIN_11_10_2010 17.117 4.56E-04 DIN
DIN_12_10_2010 6.621 4.56E-04 DIN
DIN_13_10_2010 25.266 4.56E-04 DIN
DIN_14_10_2010 52.508 4.56E-04 DIN
DIN_15_10_2010 61.268 4.56E-04 DIN
DIN_16_10_2010 63.490 4.56E-04 DIN
DIN_17_10_2010 77.604 4.56E-04 DIN
DIN_18_10_2010 68.794 4.56E-04 DIN
DIN_19_10_2010 61.992 4.56E-04 DIN
DIN_20_10_2010 49.188 4.56E-04 DIN
DIN_21_10_2010 68.133 4.56E-04 DIN
DIN_22_10_2010 72.196 4.56E-04 DIN
DIN_23_10_2010 74.251 4.56E-04 DIN
DIN_24_10_2010 80.767 4.56E-04 DIN
DIN_25_10_2010 74.559 4.56E-04 DIN
DIN_26_10_2010 73.879 4.56E-04 DIN
DIN_27_10_2010 56.835 4.56E-04 DIN
DIN_28_10_2010 52.835 4.56E-04 DIN
DIN_29_10_2010 52.283 4.56E-04 DIN
DIN_30_10_2010 55.770 4.56E-04 DIN
DIN_31_10_2010 35.771 4.56E-04 DIN
DIN_01_11_2010 35.175 4.56E-04 DIN
DIN_02_11_2010 33.920 4.56E-04 DIN
DIN_03_11_2010 27.310 4.56E-04 DIN
DIN_04_11_2010 25.119 4.56E-04 DIN
DIN_05_11_2010 27.841 4.56E-04 DIN
DIN_06_11_2010 21.193 4.56E-04 DIN
DIN_07_11_2010 35.109 4.56E-04 DIN
DIN_08_11_2010 24.235 4.56E-04 DIN
DIN_09_11_2010 26.127 4.56E-04 DIN
DIN_10_11_2010 28.000 4.56E-04 DIN
DIN_11_11_2010 30.652 4.56E-04 DIN
DIN_12_11_2010 28.591 4.56E-04 DIN
DIN_13_11_2010 29.745 4.56E-04 DIN
DIN_14_11_2010 26.228 4.56E-04 DIN
DIN_15_11_2010 42.744 4.56E-04 DIN
DIN_16_11_2010 117.843 4.56E-04 DIN
DIN_17_11_2010 105.940 4.56E-04 DIN
DIN_18_11_2010 82.535 4.56E-04 DIN
DIN_19_11_2010 331.049 4.56E-04 DIN
DIN_20_11_2010 1,460.090 4.56E-04 DIN
DIN_21_11_2010 1,667.935 4.56E-04 DIN
DIN_22_11_2010 1,559.423 4.56E-04 DIN
DIN_23_11_2010 1,320.555 4.56E-04 DIN
DIN_24_11_2010 1,265.543 4.56E-04 DIN
DIN_25_11_2010 744.489 4.56E-04 DIN
DIN_26_11_2010 394.857 4.56E-04 DIN
DIN_27_11_2010 204.420 4.56E-04 DIN
DIN_28_11_2010 119.143 4.56E-04 DIN
DIN_29_11_2010 74.983 4.56E-04 DIN
DIN_30_11_2010 527.420 4.56E-04 DIN
DIN_01_12_2010 1,855.026 4.56E-04 DIN
DIN_02_12_2010 1,192.786 4.56E-04 DIN
DIN_03_12_2010 4,300.745 4.56E-04 DIN
DIN_04_12_2010 2,363.079 4.56E-04 DIN
DIN_05_12_2010 1,018.174 4.56E-04 DIN
DIN_06_12_2010 468.305 4.56E-04 DIN
DIN_07_12_2010 707.947 4.56E-04 DIN
DIN_08_12_2010 503.920 4.56E-04 DIN
DIN_09_12_2010 307.706 4.56E-04 DIN
DIN_10_12_2010 173.490 4.56E-04 DIN
DIN_11_12_2010 101.095 4.56E-04 DIN
DIN_12_12_2010 97.647 4.56E-04 DIN
DIN_13_12_2010 158.991 4.56E-04 DIN
DIN_14_12_2010 136.521 4.56E-04 DIN
DIN_15_12_2010 111.421 4.56E-04 DIN
DIN_16_12_2010 72.258 4.56E-04 DIN
DIN_17_12_2010 52.031 4.56E-04 DIN
DIN_18_12_2010 38.069 4.56E-04 DIN
DIN_19_12_2010 29.421 4.56E-04 DIN
DIN_20_12_2010 25.146 4.56E-04 DIN
DIN_21_12_2010 24.977 4.56E-04 DIN
DIN_22_12_2010 42.886 4.56E-04 DIN
DIN_23_12_2010 60.742 4.56E-04 DIN
DIN_24_12_2010 1,082.143 4.56E-04 DIN
DIN_25_12_2010 2,426.040 4.56E-04 DIN
DIN_26_12_2010 6,209.023 4.56E-04 DIN
DIN_27_12_2010 3,188.319 4.56E-04 DIN
DIN_28_12_2010 2,222.438 4.56E-04 DIN
DIN_29_12_2010 1,226.215 4.56E-04 DIN
DIN_30_12_2010 1,809.883 4.56E-04 DIN
DIN_31_12_2010 1,088.915 4.56E-04 DIN
DIN_01_01_2011 553.837 4.56E-04 DIN
DIN_02_01_2011 291.568 4.56E-04 DIN
DIN_03_01_2011 557.130 4.56E-04 DIN
DIN_04_01_2011 660.781 4.56E-04 DIN
DIN_05_01_2011 455.768 4.56E-04 DIN
DIN_06_01_2011 344.269 4.56E-04 DIN
DIN_07_01_2011 912.317 4.56E-04 DIN
DIN_08_01_2011 686.761 4.56E-04 DIN
DIN_09_01_2011 403.715 4.56E-04 DIN
DIN_10_01_2011 226.654 4.56E-04 DIN
DIN_11_01_2011 127.166 4.56E-04 DIN
DIN_12_01_2011 83.571 4.56E-04 DIN
DIN_13_01_2011 55.712 4.56E-04 DIN
DIN_14_01_2011 48.535 4.56E-04 DIN
DIN_15_01_2011 25.717 4.56E-04 DIN
DIN_16_01_2011 25.001 4.56E-04 DIN
DIN_17_01_2011 12.262 4.56E-04 DIN
DIN_18_01_2011 13.002 4.56E-04 DIN
DIN_19_01_2011 90.868 4.56E-04 DIN
DIN_20_01_2011 157.907 4.56E-04 DIN
DIN_21_01_2011 149.151 4.56E-04 DIN
DIN_22_01_2011 112.618 4.56E-04 DIN
DIN_23_01_2011 87.599 4.56E-04 DIN
DIN_24_01_2011 53.414 4.56E-04 DIN
DIN_25_01_2011 35.291 4.56E-04 DIN
DIN_26_01_2011 20.676 4.56E-04 DIN
DIN_27_01_2011 21.090 4.56E-04 DIN
DIN_28_01_2011 11.633 4.56E-04 DIN
DIN_29_01_2011 2.736 4.56E-04 DIN
DIN_30_01_2011 9.543 4.56E-04 DIN
DIN_31_01_2011 1,290.710 4.56E-04 DIN
DIN_01_02_2011 1,160.099 4.56E-04 DIN
DIN_02_02_2011 659.797 4.56E-04 DIN
DIN_03_02_2011 1,001.839 4.56E-04 DIN
DIN_04_02_2011 736.257 4.56E-04 DIN
DIN_05_02_2011 411.438 4.56E-04 DIN
DIN_06_02_2011 463.854 4.56E-04 DIN
DIN_07_02_2011 333.419 4.56E-04 DIN
DIN_08_02_2011 219.395 4.56E-04 DIN
DIN_09_02_2011 125.819 4.56E-04 DIN
DIN_10_02_2011 74.322 4.56E-04 DIN
DIN_11_02_2011 190.764 4.56E-04 DIN
DIN_12_02_2011 178.588 4.56E-04 DIN
DIN_13_02_2011 173.002 4.56E-04 DIN
DIN_14_02_2011 127.854 4.56E-04 DIN
DIN_15_02_2011 88.577 4.56E-04 DIN
DIN_16_02_2011 194.540 4.56E-04 DIN
DIN_17_02_2011 199.364 4.56E-04 DIN
DIN_18_02_2011 127.767 4.56E-04 DIN
DIN_19_02_2011 78.664 4.56E-04 DIN
DIN_20_02_2011 63.196 4.56E-04 DIN
DIN_21_02_2011 44.040 4.56E-04 DIN
DIN_22_02_2011 33.205 4.56E-04 DIN
DIN_23_02_2011 55.695 4.56E-04 DIN
DIN_24_02_2011 65.918 4.56E-04 DIN
DIN_25_02_2011 32.427 4.56E-04 DIN
DIN_26_02_2011 37.647 4.56E-04 DIN
DIN_27_02_2011 19.029 4.56E-04 DIN
DIN_28_02_2011 16.791 4.56E-04 DIN
DIN_01_03_2011 13.063 4.56E-04 DIN
DIN_02_03_2011 14.118 4.56E-04 DIN
DIN_03_03_2011 14.645 4.56E-04 DIN
DIN_04_03_2011 5.742 4.56E-04 DIN
DIN_05_03_2011 2.397 4.56E-04 DIN
DIN_06_03_2011 8.422 4.56E-04 DIN
DIN_07_03_2011 31.861 4.56E-04 DIN
DIN_08_03_2011 72.038 4.56E-04 DIN
DIN_09_03_2011 64.157 4.56E-04 DIN
DIN_10_03_2011 57.614 4.56E-04 DIN
DIN_11_03_2011 34.288 4.56E-04 DIN
DIN_12_03_2011 26.731 4.56E-04 DIN
DIN_13_03_2011 200.097 4.56E-04 DIN
DIN_14_03_2011 942.636 4.56E-04 DIN
DIN_15_03_2011 3,864.519 4.56E-04 DIN
DIN_16_03_2011 1,981.669 4.56E-04 DIN
